ascii,initial,final
a,',a
ba,b,a
bar,b,ar
pa,p,a
ma,m,a
mar,m,ar
fa,f,a
far,f,ar
da,d,a
ta,t,a
na,n,a
nar,n,ar
la,l,a
ga,g,a
gar,g,ar
ka,k,a
ha,h,a
zha,zh,a
cha,ch,a
char,ch,ar
sha,sh,a
za,z,a
zar,z,ar
ca,c,a
car,c,ar
sa,s,a
e,',e
me,m,e
de,d,e
te,t,e
ter,t,e'r
ne,n,e
le,l,e
ler,l,e'r
ge,g,e
ger,g,e'r
ke,k,e
ker,k,e'r
he,h,e
her,h,e'r
zhe,zh,e
zher,zh,e'r
che,ch,e
she,sh,e
re,r,e
ze,z,e
ce,c,e
se,s,e
yi,',i
yir,',ir
bi,b,i
bir,b,ir
pi,p,i
pir,p,ir
mi,m,i
di,d,i
dir,d,ir
ti,t,i
ni,n,i
li,l,i
lir,l,ir
ji,j,i
qi,q,i
qir,q,ir
xi,x,i
zhi,zh,r
zhir,zh,rr
chi,ch,r
chir,ch,rr
shi,sh,r
shir,sh,rr
ri,r,r
zi,z,z
zir,z,zr
ci,c,z
cir,c,zr
si,s,z
wu,',u
bu,b,u
bur,b,ur
pu,p,u
pur,p,ur
mu,m,u
fu,f,u
fur,f,ur
du,d,u
dur,d,ur
tu,t,u
nu,n,u
lu,l,u
gu,g,u
ku,k,u
hu,h,u
hur,h,ur
zhu,zh,u
zhur,zh,ur
chu,ch,u
shu,sh,u
shur,sh,ur
ru,r,u
zu,z,u
cu,c,u
su,s,u
yu,',v
yur,',vr
nv,n,v
lv,l,v
lvr,l,vr
ju,j,v
qu,q,v
qur,q,vr
xu,x,v
ai,',ai
bai,b,ai
pai,p,ai
pair,p,air
mai,m,ai
dai,d,ai
dair,d,air
tai,t,ai
nai,n,ai
lai,l,ai
gai,g,ai
gair,g,air
kai,k,ai
hai,h,ai
hair,h,air
zhai,zh,ai
chai,ch,ai
shai,sh,ai
zai,z,ai
cai,c,ai
sai,s,ai
sair,s,air
ei,',ei
bei,b,ei
beir,b,eir
pei,p,ei
mei,m,ei
meir,m,eir
fei,f,ei
dei,d,ei
nei,n,ei
lei,l,ei
gei,g,ei
hei,h,ei
heir,h,eir
zhei,zh,ei
zei,z,ei
wei,',ui
weir,',uir
dui,d,ui
tui,t,ui
tuir,t,uir
gui,g,ui
kui,k,ui
hui,h,ui
huir,h,uir
zhui,zh,ui
chui,ch,ui
chuir,ch,uir
shui,sh,ui
shuir,sh,uir
rui,r,ui
zui,z,ui
zuir,z,uir
cui,c,ui
sui,s,ui
ao,',ao
bao,b,ao
baor,b,aor
pao,p,ao
paor,p,aor
mao,m,ao
dao,d,ao
daor,d,aor
tao,t,ao
taor,t,aor
nao,n,ao
naor,n,aor
lao,l,ao
gao,g,ao
gaor,g,aor
kao,k,ao
hao,h,ao
haor,h,aor
zhao,zh,ao
zhaor,zh,aor
chao,ch,ao
shao,sh,ao
shaor,sh,aor
rao,r,ao
zao,z,ao
zaor,z,aor
cao,c,ao
sao,s,ao
ou,',ou
pou,p,ou
mou,m,ou
fou,f,ou
dou,d,ou
dour,d,our
tou,t,ou
tour,t,our
nou,n,ou
lou,l,ou
gou,g,ou
gour,g,our
kou,k,ou
kour,k,our
hou,h,ou
hour,h,our
zhou,zh,ou
zhour,zh,our
chou,ch,ou
chour,ch,our
shou,sh,ou
rou,r,ou
zou,z,ou
cou,c,ou
sou,s,ou
you,',iu
your,',iur
miu,m,iu
diu,d,iu
niu,n,iu
niur,n,iur
liu,l,iu
jiu,j,iu
jiur,j,iur
qiu,q,iu
qiur,q,iur
xiu,x,iu
ye,',ie
bie,b,ie
pie,p,ie
mie,m,ie
die,d,ie
tie,t,ie
nie,n,ie
lie,l,ie
jie,j,ie
jier,j,ier
qie,q,ie
xie,x,ie
xier,x,ier
yue,',ve
nve,n,ve
lve,l,ve
jue,j,ve
juer,j,ver
que,q,ve
xue,x,ve
an,',an
ban,b,an
banr,b,anr
pan,p,an
panr,p,anr
man,m,an
fan,f,an
dan,d,an
danr,d,anr
tan,t,an
tanr,t,anr
nan,n,an
lan,l,an
lanr,l,anr
gan,g,an
ganr,g,anr
kan,k,an
kanr,k,anr
han,h,an
zhan,zh,an
chan,ch,an
shan,sh,an
ran,r,an
zan,z,an
can,c,an
san,s,an
en,',en
enr,',enr
ben,b,en
benr,b,enr
pen,p,en
penr,p,enr
men,m,en
menr,m,enr
fen,f,en
fenr,f,enr
nen,n,en
gen,g,en
genr,g,enr
ken,k,en
hen,h,en
zhen,zh,en
zhenr,zh,enr
chen,ch,en
shen,sh,en
shenr,sh,enr
ren,r,en
renr,r,enr
zen,z,en
cen,c,en
sen,s,en
yin,',in
yinr,',inr
bin,b,in
pin,p,in
min,m,in
nin,n,in
lin,l,in
jin,j,in
jinr,j,inr
qin,g,in
xin,x,in
xinr,x,inr
wen,',un
dun,d,un
dunr,d,unr
tun,t,un
nun,n,un
lun,l,un
lunr,l,unr
gun,g,un
gunr,g,unr
kun,k,un
hun,h,un
zhun,zh,un
zhunr,zh,unr
chun,ch,un
chunr,ch,unr
shun,sh,un
run,r,un
zun,z,un
cun,c,un
sun,s,un
yun,',vn
jun,j,vn
qun,g,vn
qunr,g,vnr
xun,x,vn
ang,',ang
bang,b,ang
pang,p,ang
mang,m,ang
fang,f,ang
fangr,f,angr
dang,d,ang
dangr,d,angr
tang,t,ang
tangr,t,angr
nang,n,ang
lang,l,ang
gang,g,ang
kang,k,ang
hang,h,ang
zhang,zh,ang
chang,ch,ang
changr,ch,angr
shang,sh,ang
rang,r,ang
rangr,r,angr
zang,z,ang
cang,c,ang
sang,s,ang
beng,b,eng
bengr,b,engr
peng,p,eng
meng,m,eng
feng,f,eng
fengr,f,engr
deng,d,eng
teng,t,eng
neng,n,eng
leng,l,eng
geng,g,eng
gengr,g,engr
keng,k,eng
heng,h,eng
zheng,zh,eng
cheng,ch,eng
chengr,ch,engr
sheng,sh,eng
reng,r,eng
zeng,z,eng
ceng,c,eng
seng,s,eng
ying,',ing
yingr,',ingr
bing,b,ing
ping,p,ing
pingr,p,ingr
ming,m,ing
mingr,m,ingr
ding,d,ing
dingr,d,ingr
ting,t,ing
ning,n,ing
ling,l,ing
lingr,l,ingr
jing,j,ing
jingr,j,ingr
qing,q,ing
qingr,q,ingr
xing,x,ing
xingr,x,ingr
dong,d,ong
dongr,d,ongr
tong,t,ong
tongr,t,ongr
nong,n,ong
long,l,ong
gong,g,ong
kong,k,ong
kongr,k,ongr
hong,h,ong
zhong,zh,ong
zhongr,zh,ongr
chong,ch,ong
chongr,ch,ongr
rong,r,ong
zong,z,ong
cong,c,ong
congr,c,ongr
song,s,ong
ya,',ia
yar,',iar
lia,l,ia
jia,j,ia
jiar,j,iar
qia,q,ia
xia,x,ia
xiar,x,iar
yao,',iao
biao,b,iao
piao,p,iao
piaor,p,iaor
miao,m,iao
miaor,m,iaor
diao,d,iao
diaor,d,iaor
tiao,t,iao
tiaor,t,iaor
niao,n,iao
niaor,n,iaor
liao,l,iao
jiao,j,iao
jiaor,j,iaor
qiao,q,iao
qiaor,q,iaor
xiao,x,iao
xiaor,x,iaor
yan,',ian
yanr,',iar
bian,b,ian
bianr,b,ianr
pian,p,ian
pianr,p,ianr
mian,m,ian
mianr,m,ianr
dian,d,ian
dianr,d,ianr
tian,t,ian
tianr,t,ianr
nian,n,ian
nianr,n,ianr
lian,l,ian
lianr,l,ianr
jian,j,ian
jianr,j,ianr
qian,q,ian
qianr,q,ianr
xian,x,ian
xianr,x,ianr
yang,',iang
yangr,',iangr
niang,n,iang
liang,l,iang
liangr,l,iangr
jiang,j,iang
qiang,q,iang
xiang,x,iang
yong,',iong
jiong,j,iong
qiong,q,iong
xiong,x,iong
xiongr,x,iongr
wa,',ua
gua,g,ua
guar,g,uar
kua,k,ua
hua,h,ua
huar,h,uar
zhua,zh,ua
zhuar,zh,uar
chua,ch,ua
shua,sh,ua
shuar,sh,uar
wo,',uo
wor,',uor
bo,b,(u)o
po,p,(u)o
mo,m,(u)o
mor,m,or
fo,f,(u)o
duo,d,uo
tuo,t,uo
tuor,t,uor
nuo,n,uo
luo,l,uo
guo,g,uo
guor,g,uor
kuo,k,uo
huo,h,uo
huor,h,uor
zhuo,zh,uo
chuo,ch,uo
chuor,ch,uor
shuo,sh,uo
shuor,sh,uor
ruo,r,uo
zuo,z,uo
zuor,z,uor
cuo,c,uo
suo,s,uo
wai,',uai
guai,g,uai
kuai,k,uai
kuair,k,uair
huai,h,uai
zhuai,zh,uai
chuai,ch,uai
shuai,sh,uai
wan,',uan
wanr,',uanr
duan,d,uan
tuan,t,uan
nuan,n,uan
luan,l,uan
guan,g,uan
guanr,g,uanr
kuan,k,uan
kuanr,k,uanr
huan,h,uan
zhuan,zh,uan
zhuanr,zh,uanr
chuan,ch,uan
shuan,sh,uan
ruan,r,uan
zuan,z,uan
cuan,c,uan
suan,s,uan
wang,',uang
duang,d,uang
guang,g,uang
kuang,k,uang
huang,h,uang
huangr,h,uangr
zhuang,zh,uang
chuang,ch,uang
chuangr,ch,uangr
shuang,sh,uang
weng,',ueng
wengr,',uengr
yuan,',van
yuanr,',vanr
juan,j,van
juanr,j,vanr
quan,q,van
quanr,q,vanr
xuan,x,van
er,','er
o,',o
lo,l,o
yo,',io
eh,',eh
m,',m
hm,h,m
n,',n
ng,',ng
hng,h,ng
